lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_max_arity,mean_high_arity_node_proportion
ja,2,random,36,0.0,1.0,0.3333333333333334,1.0,0.0
ja,2,real,36,0.0,1.0,0.3240740740740742,1.0,0.0
ja,3,random,95,0.3473684210526316,1.0,0.3605263157894737,1.5578947368421052,0.0
ja,3,real,95,0.46842105263157896,1.0,0.35789473684210527,1.5263157894736843,0.0
ja,4,random,103,0.5987055016181232,1.1003236245954688,0.4252427184466018,1.8737864077669903,0.02718446601941748
ja,4,real,103,0.5533980582524275,1.0032362459546924,0.35053166897827037,2.2135922330097086,0.04627831715210358
ja,5,random,151,0.8824503311258278,1.2649006622516556,0.4724061810154524,2.033112582781457,0.03200883002207505
ja,5,real,151,0.6589403973509934,1.0413907284768211,0.35493535162409356,2.562913907284768,0.0744638915168716
ja,6,random,153,1.0549019607843142,1.3071895424836601,0.4584500466853409,2.457516339869281,0.059757236227824494
ja,6,real,153,0.7542483660130714,1.0771241830065357,0.35231870525988185,2.8300653594771243,0.08693847909534179
ja,7,random,206,1.276699029126214,1.4401294498381871,0.47633495145631066,2.5728155339805827,0.05825242718446602
ja,7,real,206,0.8972491909385114,1.101941747572815,0.3434895067176621,3.325242718446602,0.10134475826223395
ja,8,random,226,1.464601769911504,1.5512010113780028,0.48377581120943924,2.8008849557522124,0.07079646017699098
ja,8,real,226,0.9260429835651082,1.1144121365360287,0.34056270671314876,3.561946902654867,0.11499508357915417
ja,9,random,234,1.6367521367521367,1.642628205128205,0.49401709401709437,2.982905982905983,0.07179487179487168
ja,9,real,234,0.968482905982906,1.126602564102564,0.34405694021078603,3.752136752136752,0.11776144083836404
ja,10,random,225,1.761481481481482,1.7076543209876536,0.4961616161616159,2.968888888888889,0.0747474747474749
ja,10,real,225,1.069135802469135,1.1812345679012366,0.357053687053687,3.7911111111111113,0.1167155067155068
ja,11,random,264,1.9162878787878794,1.7920454545454554,0.5050505050505049,3.1553030303030303,0.08112373737373733
ja,11,real,264,1.1136363636363635,1.1977272727272723,0.3580052300640535,4.003787878787879,0.11825617193264243
