lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
hi,2,random,23,0.1956521739130435,1.0,0.536231884057971,1.608695652173913,1.391304347826087,0.0
hi,2,real,23,0.0,1.0,0.3333333333333332,2.0,1.0,0.0
hi,3,random,4,0.6666666666666666,1.0833333333333333,0.4375,1.75,2.25,0.125
hi,3,real,4,0.25,1.0,0.25,2.0,2.0,0.0
hi,4,random,21,0.6785714285714286,1.2976190476190477,0.5523809523809524,2.5714285714285716,2.1904761904761907,0.047619047619047616
hi,4,real,21,0.47619047619047616,1.0,0.26349206349206356,2.3333333333333335,2.6666666666666665,0.1301587301587302
hi,5,random,71,0.9774647887323938,1.352112676056339,0.49765258215962427,2.6338028169014085,2.5492957746478875,0.08215962441314556
hi,5,real,71,0.6619718309859155,1.102112676056338,0.3044936284372904,2.816901408450704,3.0704225352112675,0.12994634473507716
hi,6,random,159,1.2568134171907759,1.5241090146750533,0.4977538185085354,3.0125786163522013,2.742138364779874,0.08086253369272232
hi,6,real,159,0.8188679245283011,1.1748427672955972,0.3407956473994209,3.119496855345912,3.30188679245283,0.12086952181291787
hi,7,random,227,1.4795468848332278,1.6425424795468868,0.5033039647577092,3.2775330396475773,2.9251101321585904,0.09911894273127753
hi,7,real,227,0.9720998531571226,1.2180616740088102,0.33838717572197746,3.2819383259911894,3.6211453744493394,0.12134116495349975
hi,8,random,310,1.7350806451612903,1.7911290322580644,0.5043010752688168,3.432258064516129,3.106451612903226,0.10358422939068071
hi,8,real,310,1.1110599078341015,1.2622119815668218,0.35281199087650633,3.470967741935484,3.8096774193548386,0.11682958618442492
hi,9,random,430,1.9677002583979322,1.9242894056847557,0.5093023255813953,3.7348837209302324,3.2767441860465114,0.10325581395348897
hi,9,real,430,1.2145348837209302,1.3002906976744186,0.3539358703312206,3.6348837209302327,4.065116279069767,0.12487315010570915
hi,10,random,530,2.287169811320758,2.071320754716983,0.49571183533447766,3.750943396226415,3.5037735849056606,0.10977701543739321
hi,10,real,530,1.3406708595387835,1.3215932914046096,0.3500259174787496,3.79811320754717,4.333962264150943,0.12138113458868229
hi,11,random,605,2.5102930127723524,2.2199849737039816,0.5031680440771348,3.9933884297520663,3.5834710743801654,0.10881542699724536
hi,11,real,605,1.4393388429752065,1.376198347107438,0.3613400992946454,4.084297520661157,4.441322314049587,0.12026201071655628
