lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
en,2,random,523,0.0,1.0,0.3333333333333344,2.0,1.0,0.0
en,2,real,523,0.0,1.0,0.3234544295729772,2.0,1.0,0.0
en,3,random,561,0.3538324420677362,1.1203208556149733,0.4193404634581105,2.677361853832442,1.322638146167558,0.0
en,3,real,561,0.3181818181818182,1.000891265597148,0.3659833630421863,2.516934046345811,1.483065953654189,0.0
en,4,random,449,0.6711210096510766,1.2895322939866367,0.45612472160356426,3.2806236080178173,1.7193763919821827,0.012917594654788424
en,4,real,449,0.39569413511507184,1.0423162583518928,0.36025029165341055,2.9020044543429844,2.0979955456570156,0.04324954926291222
en,5,random,489,1.0015337423312884,1.4805725971370143,0.4931833674164963,3.871165644171779,1.9284253578732107,0.01976823449216087
en,5,real,489,0.49591002044989774,1.0618609406952966,0.4034277923848482,3.4171779141104293,2.310838445807771,0.05002921413964364
en,6,random,473,1.337420718816066,1.672304439746299,0.5077016007248567,4.293868921775899,2.1691331923890065,0.032316520688613674
en,6,real,473,0.6021141649048622,1.1006342494714567,0.41834625322997304,3.8202959830866807,2.558139534883721,0.06252223228967403
en,7,random,468,1.5972222222222214,1.8440170940170935,0.5227029914529915,4.811965811965812,2.2948717948717947,0.03685897435897436
en,7,real,468,0.6542022792022798,1.1150284900284906,0.43755989380989435,4.2905982905982905,2.769230769230769,0.06911637744971076
en,8,random,465,2.045161290322581,2.1364055299539166,0.540979689366784,5.247311827956989,2.3548387096774195,0.03799283154121854
en,8,real,465,0.6967741935483864,1.147465437788021,0.4552709894645391,4.703225806451613,2.7978494623655914,0.07048332790268272
en,9,random,501,2.352295409181637,2.3330838323353293,0.552495009980039,5.708582834331337,2.435129740518962,0.04151696606786432
en,9,real,501,0.7248003992015968,1.157934131736527,0.46349522068085014,5.151696606786427,2.8902195608782435,0.07539463198145861
en,10,random,570,2.678167641325534,2.5296296296296292,0.5529505582137149,5.982456140350878,2.626315789473684,0.0526315789473683
en,10,real,570,0.8389863547758273,1.217543859649118,0.46714817346396326,5.389473684210526,3.1298245614035087,0.08142594247857438
en,11,random,469,3.019189765458421,2.730490405117271,0.5630774697938874,6.4136460554371,2.609808102345416,0.04957356076759054
en,11,real,469,0.8791044776119403,1.2313432835820926,0.4708992379960022,5.637526652452026,3.2196162046908317,0.08918144755031752
