lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
es,2,random,142,0.0,1.0,0.33333333333333376,2.0,1.0,0.0
es,2,real,142,0.0,1.0,0.29272300469483575,2.0,1.0,0.0
es,3,random,142,0.30985915492957744,1.1232394366197183,0.4295774647887324,2.7183098591549295,1.2816901408450705,0.0
es,3,real,142,0.3274647887323944,1.0035211267605635,0.314570757880617,2.4225352112676055,1.5774647887323943,0.0
es,4,random,194,0.6185567010309281,1.2663230240549834,0.46082474226804165,3.304123711340206,1.6958762886597938,0.011340206185567008
es,4,real,194,0.5446735395189,1.0120274914089347,0.30791605301914565,2.6752577319587627,2.3247422680412373,0.06435935198821792
es,5,random,188,1.0345744680851063,1.4773936170212767,0.49290780141843965,3.8882978723404253,1.9574468085106382,0.023049645390070917
es,5,real,188,0.6462765957446809,1.0305851063829787,0.3178972475515032,2.9627659574468086,2.627659574468085,0.0820288753799391
es,6,random,176,1.2863636363636364,1.6409090909090915,0.4983766233766236,4.2102272727272725,2.147727272727273,0.0275974025974026
es,6,real,176,0.7306818181818183,1.0613636363636358,0.34543199855699874,3.25,2.835227272727273,0.08890241702741693
es,7,random,205,1.6959349593495936,1.8780487804878054,0.5219512195121951,4.775609756097561,2.268292682926829,0.03231707317073171
es,7,real,205,0.813821138211382,1.0878048780487795,0.35539541759053933,3.526829268292683,3.053658536585366,0.09585858585858581
es,8,random,240,2.026785714285715,2.1089285714285717,0.5439814814814822,5.320833333333334,2.3333333333333335,0.03842592592592586
es,8,real,240,0.877976190476191,1.1041666666666654,0.35175294612794555,3.7083333333333335,3.279166666666667,0.10192971380471366
es,9,random,260,2.3173076923076925,2.2706730769230767,0.5499999999999994,5.711538461538462,2.496153846153846,0.04846153846153836
es,9,real,260,0.9596153846153846,1.1163461538461539,0.3562303721919108,3.8923076923076922,3.4346153846153844,0.10868227925920243
es,10,random,299,2.6570048309178755,2.510962467484207,0.5591365156582537,6.053511705685619,2.548494983277592,0.046518698692611875
es,10,real,299,0.9988851727982152,1.1371237458193977,0.35950147956836875,4.11371237458194,3.568561872909699,0.11246785544444413
es,11,random,295,2.951525423728814,2.669491525423729,0.5536723163841808,6.311864406779661,2.698305084745763,0.060734463276836174
es,11,real,295,1.06,1.1484745762711863,0.3589187656809792,4.254237288135593,3.7084745762711866,0.11987112837312243
