lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
hi,2,random,23,0.0,1.0,0.3333333333333332,2.0,1.0,0.0
hi,2,real,23,0.0,1.0,0.3333333333333332,2.0,1.0,0.0
hi,3,random,4,0.5,1.25,0.375,2.5,1.5,0.0
hi,3,real,4,0.25,1.0,0.25,2.0,2.0,0.0
hi,4,random,21,0.619047619047619,1.3015873015873014,0.4761904761904763,3.380952380952381,1.619047619047619,0.0
hi,4,real,21,0.47619047619047616,1.0,0.26349206349206356,2.3333333333333335,2.6666666666666665,0.1301587301587302
hi,5,random,71,0.9964788732394366,1.5070422535211268,0.4906103286384976,3.887323943661972,1.943661971830986,0.02112676056338028
hi,5,real,71,0.6619718309859155,1.102112676056338,0.3044936284372904,2.816901408450704,3.0704225352112675,0.12994634473507716
hi,6,random,159,1.3031446540880498,1.7132075471698116,0.5211141060197662,4.421383647798742,2.1132075471698113,0.027852650494159924
hi,6,real,159,0.8188679245283011,1.1748427672955972,0.3407956473994209,3.119496855345912,3.30188679245283,0.12086952181291787
hi,7,random,227,1.68575624082232,1.8906020558002947,0.5269823788546255,4.797356828193832,2.303964757709251,0.036894273127753306
hi,7,real,227,0.9720998531571226,1.2180616740088102,0.33838717572197746,3.2819383259911894,3.6211453744493394,0.12134116495349975
hi,8,random,310,2.078341013824885,2.129032258064517,0.5372759856630828,5.2290322580645165,2.3870967741935485,0.03870967741935475
hi,8,real,310,1.1110599078341015,1.2622119815668218,0.35281199087650633,3.470967741935484,3.8096774193548386,0.11682958618442492
hi,9,random,430,2.313081395348837,2.2889534883720932,0.5411627906976735,5.651162790697675,2.527906976744186,0.050000000000000065
hi,9,real,430,1.2145348837209302,1.3002906976744186,0.3539358703312206,3.6348837209302327,4.065116279069767,0.12487315010570915
hi,10,random,530,2.6004192872117393,2.494129979035639,0.562264150943394,6.130188679245283,2.5056603773584905,0.042024013722126934
hi,10,real,530,1.3406708595387835,1.3215932914046096,0.3500259174787496,3.79811320754717,4.333962264150943,0.12138113458868229
hi,11,random,605,3.003636363636364,2.7076033057851223,0.5582644628099164,6.355371900826446,2.6661157024793387,0.05454545454545438
hi,11,real,605,1.4393388429752065,1.376198347107438,0.3613400992946454,4.084297520661157,4.441322314049587,0.12026201071655628
