dataset_key,dataset_label,lang,kind,sent_id,sent_len,mean_dep_distance,mean_intervener_complexity,tree_depth,tree_density,max_arity,avg_arity,proportion_high_arity_nodes
matched_random,Matched random structures,hi,random,2,6,0.4,1.0,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,real,2,6,0.8,1.2,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,random,3,6,0.8,1.0,4,0.42857142857142855,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,real,3,6,0.4,1.0,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,random,5,5,0.75,1.0,3,0.3333333333333333,2,0.8333333333333334,0.0
matched_random,Matched random structures,hi,real,5,5,0.25,1.0,3,0.3333333333333333,3,0.8333333333333334,0.16666666666666666
matched_random,Matched random structures,hi,random,8,9,1.375,1.625,5,0.5,2,0.9,0.0
matched_random,Matched random structures,hi,real,8,9,1.375,1.5,5,0.4,4,0.9,0.1
matched_random,Matched random structures,hi,random,9,7,0.3333333333333333,1.1666666666666667,4,0.5,3,0.875,0.125
matched_random,Matched random structures,hi,real,9,7,1.3333333333333333,1.5,3,0.375,4,0.875,0.125
matched_random,Matched random structures,hi,random,11,7,1.3333333333333333,1.3333333333333333,4,0.5,2,0.875,0.0
matched_random,Matched random structures,hi,real,11,7,1.0,1.1666666666666667,3,0.25,4,0.875,0.125
matched_random,Matched random structures,hi,random,21,6,2.0,2.0,4,0.42857142857142855,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,real,21,6,1.0,1.2,3,0.2857142857142857,4,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,random,22,6,1.0,1.4,4,0.5714285714285714,2,0.8571428571428571,0.0
matched_random,Matched random structures,hi,real,22,6,0.8,1.2,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,random,25,11,2.3,2.4,8,0.5833333333333334,2,0.9166666666666666,0.0
matched_random,Matched random structures,hi,real,25,11,0.6,1.1,5,0.4166666666666667,3,0.9166666666666666,0.08333333333333333
matched_random,Matched random structures,hi,random,26,6,0.8,1.0,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
matched_random,Matched random structures,hi,real,26,6,0.8,1.2,3,0.2857142857142857,3,0.8571428571428571,0.14285714285714285
